run_key,experiment_family,experiment_name,run_id,random_state,train_fraction,train_size,scaler,features,n_features,n_components,covariance_type,n_init,converged,n_iter,lower_bound,bic_all,aic_all,ari_vs_m2_gmm,matched_label,matched_group_size,reference_overlap_count,reference_recall,jaccard_overlap,candidate_count,candidate_fraction,candidate_enrichment,reference_candidates_selected,new_members_selected,omitted_candidates_selected
random_seed_stability:seed:seed_15,random_seed_stability,seed,seed_15,15,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,40,-4.136212536089522,16615.551813381546,15578.462352433407,0.5074138272368974,4,27,27,0.84375,0.84375,24,0.8888888888888888,60.51028806584362,24,3,0
random_seed_stability:seed:seed_16,random_seed_stability,seed,seed_16,16,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,52,-4.111726939256814,16525.658434832796,15488.568973884658,0.6200812383032768,2,33,32,1.0,0.9696969696969697,24,0.7272727272727273,49.50841750841751,24,8,0
random_seed_stability:seed:seed_17,random_seed_stability,seed,seed_17,17,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,38,-4.172601105901948,16748.651565552987,15711.562104604849,0.4738993814156825,8,25,25,0.78125,0.78125,24,0.96,65.35111111111111,24,1,0
random_seed_stability:seed:seed_18,random_seed_stability,seed,seed_18,18,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,31,-4.154346140649331,16681.552981050318,15644.46352010218,0.5500149827597572,2,27,27,0.84375,0.84375,24,0.8888888888888888,60.51028806584362,24,3,0
random_seed_stability:seed:seed_19,random_seed_stability,seed,seed_19,19,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,52,-4.152253282441861,16673.89027935905,15636.80081841091,0.4713902231911092,8,22,21,0.65625,0.6363636363636364,19,0.8636363636363636,58.791245791245785,19,2,0
random_seed_stability:seed:seed_20,random_seed_stability,seed,seed_20,20,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,30,-4.181219513338225,16779.931707831412,15742.842246883274,0.5910782450312098,7,26,21,0.65625,0.5675675675675675,19,0.7307692307692307,49.74643874643874,19,2,0
random_seed_stability:seed:seed_21,random_seed_stability,seed,seed_21,21,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,49,-4.154115434829109,16680.575786345416,15643.486325397276,0.43630074718661244,3,11,11,0.34375,0.34375,11,1.0,68.07407407407408,11,0,0
random_seed_stability:seed:seed_22,random_seed_stability,seed,seed_22,22,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,36,-4.136396621766367,16615.824406532793,15578.734945584652,0.5029885825065241,4,27,27,0.84375,0.84375,24,0.8888888888888888,60.51028806584362,24,3,0
random_seed_stability:seed:seed_23,random_seed_stability,seed,seed_23,23,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,41,-4.1341645131567075,16607.307757707895,15570.218296759756,0.506339794357713,3,27,27,0.84375,0.84375,24,0.8888888888888888,60.51028806584362,24,3,0
random_seed_stability:seed:seed_24,random_seed_stability,seed,seed_24,24,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,54,-4.111284268268291,16524.25909468497,15487.169633736832,0.5807580258227363,3,32,31,0.96875,0.9393939393939394,23,0.71875,48.92824074074074,23,8,0
random_seed_stability:seed:seed_25,random_seed_stability,seed,seed_25,25,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,27,-4.17597892307635,16760.92717441635,15723.83771346821,0.6222725450177682,0,25,25,0.78125,0.78125,24,0.96,65.35111111111111,24,1,0
random_seed_stability:seed:seed_26,random_seed_stability,seed,seed_26,26,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,34,-4.17379395289538,16753.29694602502,15716.20748507688,0.6021581832419628,3,24,22,0.6875,0.6470588235294118,19,0.7916666666666666,53.89197530864197,19,3,0
random_seed_stability:seed:seed_27,random_seed_stability,seed,seed_27,27,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,33,-4.177921770697555,16768.22107211193,15731.13161116379,0.41898603622907654,6,24,22,0.6875,0.6470588235294118,19,0.7916666666666666,53.89197530864197,19,3,0
